Date,severe_new
14/07/2021,10
15/07/2021,11
16/07/2021,5
17/07/2021,12
18/07/2021,17
19/07/2021,8
20/07/2021,10
21/07/2021,13
22/07/2021,17
23/07/2021,19
24/07/2021,
25/07/2021,
26/07/2021,
27/07/2021,
28/07/2021,
29/07/2021,
30/07/2021,
31/07/2021,
01/08/2021,
02/08/2021,
03/08/2021,
04/08/2021,
05/08/2021,
06/08/2021,
07/08/2021,
08/08/2021,
09/08/2021,
10/08/2021,
11/08/2021,
12/08/2021,
13/08/2021,
14/08/2021,
15/08/2021,
16/08/2021,
17/08/2021,
18/08/2021,
19/08/2021,
20/08/2021,
21/08/2021,
22/08/2021,
23/08/2021,
24/08/2021,
25/08/2021,
26/08/2021,
27/08/2021,
28/08/2021,
29/08/2021,
30/08/2021,
31/08/2021,
01/09/2021,
02/09/2021,
03/09/2021,
04/09/2021,
05/09/2021,
06/09/2021,
07/09/2021,
08/09/2021,
09/09/2021,
10/09/2021,
11/09/2021,
12/09/2021,
13/09/2021,
14/09/2021,
15/09/2021,
16/09/2021,
17/09/2021,
18/09/2021,
19/09/2021,
20/09/2021,
21/09/2021,
22/09/2021,
23/09/2021,
24/09/2021,
25/09/2021,
26/09/2021,
27/09/2021,
28/09/2021,
29/09/2021,
30/09/2021,
